Source	Sign	Target	k_param	n_param
AKT	-1	RAF1_S338	0.593811092921995	3
AKT	1	RPS6KB1_T389	0.415579871722931	3
AKT	1	GSK3_S9	0.412887591198616	3
AKT	-1	GSK3_S21	0.71862214221459	3
PIK3R1	1	MET_Y1235	1	3
PIK3R1	1	JNK_T183_T185	1	3
RAF1_S338	1	MEK_S217_S221	0.483555834496803	3
MEK_S217_S221	1	ERK_T202_Y204	0.499593631947047	3
PIK3R1	1	AKT_S473	0	3
ERK_T202_Y204	1	RAF1_S338	0	3
JNK_T183_T185	1	STAT3_Y705	0.978993574776107	3
ERK_T202_Y204	1	STAT3_Y705	0	3
MTOR_S2448	1	RPS6KB1_T389	0.188772054808835	3
MTOR_S2448	-1	EIF4EBP1_S65	0	3
PIK3R1	1	RAF1_S338	0.425973701407551	3
GSK3_S21	1	AKT_S473	0.466696743902328	3
GSK3_S21	1	GSK3_S9	0	3
HGF	1	ERK	0	3
HGF	1	PIK3R1	0	3
PIK3R1	1	STAT3_Y705	0.721597371364492	3
FGFR	1	PIK3R1	0	3
NRG1	1	PIK3R1	2.10927949276833e-07	3
EGFR	1	STAT3_Y705	0	3
EGFR	1	PIK3R1	0	3
EGFR	1	EGFR_Y992	2.7434562823657e-08	3
IGF1R	1	PIK3R1	0	3
IGF1R	1	ERK	0	3
ERK	1	STAT3_Y705	0	3
NRG1	1	ERK	0	3
PIK3R1	1	AKT_T308	0	3
STAT3_Y705	1	AKT_T308	0	3
EGFR_Y992	1	AKT_T308	0.541432892725559	3
AKT	1	ERK	0	3
STAT3_Y705	1	AKT_S473	0	3
AKT	1	AKT_T308	0	3
EGFR_Y992	1	AKT_S473	0.550820827757549	3
HGF	1	EGFR_Y992	3.76134955528275e-08	3
IGF1R	1	EGFR_Y992	3.94013320422283e-08	3
EGFR_Y992	1	PIK3R1	0	3
PIK3R1	1	EGFR_Y992	0	3
EGFR_Y992	1	STAT3_Y705	0	3
FGFR	1	EGFR_Y992	1.19317411026472e-07	3
EGFR_Y992	1	ERK	0	3
ERK	1	EGFR_Y992	0	3
AKT	1	MTOR_S2448	0	3
GSK3_S21	1	MTOR_S2448	0	3
MTOR_S2448	1	AKT_T308	0.428353370324014	3
MTOR_S2448	1	AKT_S473	6.53258296806411e-06	3
ERK_T202_Y204	1	MTOR_S2448	0	3
RPS6KB1_T389	1	MTOR_S2448	0	3
AKT	1	RB1_S807_S81	0.483790652285112	3
AKT	1	EGFR_Y992	0	3
AKT_S473	1	AKT	0	3
AKT_T308	1	AKT	0	3
IGF1R	1	JNK_T183_T185	0	3
IGF1R	1	ERK_T202_Y204	0	3
IGF1R	1	MTOR_S2448	0	3
IGF1R	1	AKT_S473	0	3
IGF1R	1	AKT_T308	0	3
EGFR	1	AKT_S473	0	3
AKT	1	AKT_S473	0	3
