Source	Sign	Target	k_param	n_param
AKT	-1	RAF1_S338	0.437115798362868	3
AKT	1	RPS6KB1_T389	0.392242651375862	3
AKT	1	GSK3_S9	0.407790359621201	3
AKT	-1	GSK3_S21	0.694902321404836	3
PIK3R1	1	MET_Y1235	0.820065880216928	3
PIK3R1	1	JNK_T183_T185	0.820851820351884	3
RAF1_S338	1	MEK_S217_S221	0	3
MEK_S217_S221	1	ERK_T202_Y204	0.614929140922083	3
PIK3R1	1	AKT_S473	0	3
ERK_T202_Y204	1	RAF1_S338	0	3
JNK_T183_T185	1	STAT3_Y705	0.452844891754387	3
ERK_T202_Y204	1	STAT3_Y705	0	3
MTOR_S2448	1	RPS6KB1_T389	0.247148207722076	3
MTOR_S2448	-1	EIF4EBP1_S65	0.855546786036761	3
PIK3R1	1	RAF1_S338	0	3
GSK3_S21	1	AKT_S473	0	3
GSK3_S21	1	GSK3_S9	0	3
HGF	1	ERK	0	3
HGF	1	PIK3R1	7.82476618966179e-07	3
PIK3R1	1	STAT3_Y705	0.658515412115611	3
FGFR	1	PIK3R1	3.24561483730343e-07	3
NRG1	1	PIK3R1	0	3
EGFR	1	STAT3_Y705	0	3
EGFR	1	PIK3R1	3.08073808159214e-08	3
EGFR	1	EGFR_Y992	1.74331450979321e-08	3
IGF1R	1	PIK3R1	1.94842173347692e-06	3
IGF1R	1	ERK	0	3
ERK	1	STAT3_Y705	0	3
NRG1	1	ERK	0	3
PIK3R1	1	AKT_T308	0.526885953902657	3
STAT3_Y705	1	AKT_T308	0	3
EGFR_Y992	1	AKT_T308	0	3
AKT	1	ERK	0	3
STAT3_Y705	1	AKT_S473	0	3
AKT	1	AKT_T308	0	3
EGFR_Y992	1	AKT_S473	0.496579977624238	3
HGF	1	EGFR_Y992	2.1621983409973e-07	3
IGF1R	1	EGFR_Y992	2.51010295307585e-07	3
EGFR_Y992	1	PIK3R1	0	3
PIK3R1	1	EGFR_Y992	0	3
EGFR_Y992	1	STAT3_Y705	0	3
FGFR	1	EGFR_Y992	1.23855274918888e-07	3
EGFR_Y992	1	ERK	0	3
ERK	1	EGFR_Y992	0	3
AKT	1	MTOR_S2448	0.133016301412427	3
GSK3_S21	1	MTOR_S2448	0	3
MTOR_S2448	1	AKT_T308	0.446772962114853	3
MTOR_S2448	1	AKT_S473	0.476910044659259	3
ERK_T202_Y204	1	MTOR_S2448	0	3
RPS6KB1_T389	1	MTOR_S2448	0	3
AKT	1	RB1_S807_S81	0.477759001283953	3
AKT	1	EGFR_Y992	0	3
AKT_S473	1	AKT	0	3
AKT_T308	1	AKT	0	3
IGF1R	1	JNK_T183_T185	0	3
IGF1R	1	ERK_T202_Y204	0	3
IGF1R	1	MTOR_S2448	0	3
IGF1R	1	AKT_S473	0	3
